31,競馬場コード,競馬場,国名,レース日付,Date_L,Video,Sectional,レース名,レース格,レースNo,レース他,レース名省略,出走条件（性別）,馬場の種類,障害数,障害レース確認,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,総賞金,着賞金,通過タイム01,通過タイム02,通過タイム03,通過タイム04,通過タイム05,finishタイム,レースSectionalタイム01,レースSectionalタイム02,レースSectionalタイム03,レースSectionalタイム04,レースSectionalタイム05,レースSectionalタイム06,レースSectionalタイム内訳01,レースSectionalタイム内訳02,レースSectionalタイム内訳03,レースSectionalタイム内訳04,馬別Sectionalタイム01,馬別Sectionalタイム02,馬別Sectionalタイム03,馬別Sectionalタイム04,馬別Sectionalタイム05,馬別Sectionalタイム06,馬別Sectionalタイム内訳01,馬別Sectionalタイム内訳02,馬別Sectionalタイム内訳03,馬別Sectionalタイム内訳04,通過順位01,通過順位02,通過順位03,通過順位04,通過順位05,入線順位,確定順位,異常区分,同着,着変更,馬番号,ゲート番号,着差1,着差2,馬名,馬ID,生産国,オッズ,馬齢,馬体重,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,タイム,優勝馬オーナー,優勝馬生産者,コメント
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.19,22.00,23.52,,,,,,,,3,3,,,,1,1,,,,3,2,-,,TAKINGUFURTHER,C131,,3.5,,1115,128,,,,K H Ting,C L Chau,,,,,,12,1:09.71,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,23.71,22.08,24.10,,,,,,,,1,1,,,,2,2,,,,10,5,1,,GOLDEN MISSION,C106,,5.5,,1159,115,,,,C W Chang,M Chadwick,,,,,,12,1:09.89,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.43,21.96,23.50,,,,,,,,5,5,,,,3,3,,,,11,4,1,,XIANG LAN QI,C167,,23,,1126,113,,,,K L Man,M F Poon,,,,,,12,1:09.89,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.99,21.76,23.16,,,,,,,,10,9,,,,4,4,,,,8,10,1-1/4,,ALLOY STAR,D053,,13,,1085,122,,,,T P Yung,K C Leung,,,,,,12,1:09.91,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.47,21.92,23.56,,,,,,,,6,6,,,,5,5,,,,9,1,1-1/2,,RAGING BLAZE,E258,,8.5,,1128,120,,,,J Size,V Borges,,,,,,12,1:09.95,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,25.23,21.48,23.35,,,,,,,,12,8,,,,6,6,,,,1,11,2-1/4,,TOWARDS SUCCESS,E036,,68,,1126,133,,,,W Y So,H W Lai,,,,,,12,1:10.06,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,25.07,22.04,23.22,,,,,,,,11,11,,,,7,7,,,,6,12,3-3/4,,TELECOM MISSILE,D209,,5.7,,1278,124,,,,C Fownes,K Teetan,,,,,,12,1:10.33,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.19,22.08,24.10,,,,,,,,4,4,,,,8,8,,,,4,3,4,,EVER JOY,E295,,25,,1073,130,,,,P O'Sullivan,L Ferraris,,,,,,12,1:10.37,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,24.75,21.88,23.82,,,,,,,,8,7,,,,9,9,,,,2,8,4-1/2,,TRONIC MIGHTY,E210,,10,,1003,133,,,,D A Hayes,J Moreira,,,,,,12,1:10.45,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
32,ST,Sha Tin,HK,2022/01/09,https://racing.hkjc.com/racing/information/english/Racing/LocalResults.aspx?RaceDate=2022/01/09&Racecourse=ST&RaceNo=1,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20220109&no=01&lang=eng,https://racing.hkjc.com/racing/information/english/Racing/DisplaySectionalTime.aspx?RaceDate=09/01/2022&RaceNo=1,WONG SHEK HANDICAP,Class 5,RACE 1,,,,TURF,,,,,,1200M,,,GOOD,"HK$ 780,000",,23.71,45.79,,,,1:09.71,23.71,22.08,23.92,,,,,,,,23.83,22.16,25.01,,,,,,,,2,2,,,,10,10,,,,7,9,8,,GARLIC HERO,D160,,9.4,,1033,118,,,,C H Yip,K H Chan,,,,,,12,1:11.00,,,"SUNNY SMILE shifted out at the start and hampered TRONIC MIGHTY. After this, both SUNNY SMILE and TRONIC MIGHTY were steadied to obtain cover.
ALLOY STAR was crowded for room on jumping between TOWARDS SUCCESS and GARLIC HERO which began awkwardly and shifted out. After this, from wide barriers, ALLOY STAR and TOWARDS SUCCESS were shifted across behind runners.
Approaching the 1100 Metres, EVER JOY and TAKINGUFURTHER bumped.
Approaching and passing the 1000 Metres, EVER JOY travelled keenly when being steadied to obtain cover.
After the 500 Metres, SUNNY SMILE was awkwardly placed close to the heels of FULL SAILING when endeavouring to shift to the outside of that horse as TELECOM MISSILE improved around SUNNY SMILE.
TRONIC MIGHTY lay out rounding the Home Turn and then near the 250 Metres got its head on the side and shifted out away from ALLOY STAR which shifted out before being corrected by its rider.
EVER JOY lay in under pressure in the early part of the Straight.
Passing the 400 Metres, ALLOY STAR was awkwardly placed inside TRONIC MIGHTY.
Throughout the race, FULL SAILING travelled wide and without cover.
After the race, K Teetan (TELECOM MISSILE) stated that, from the outside barrier, he was asked to shift the horse across behind runners in the early stages to obtain cover. He said in order to obtain cover, he was required to position TELECOM MISSILE at the rear of the field which resulted in the horse having too much work to do in the latter stages of the race. A veterinary inspection of TELECOM MISSILE immediately following the race did not show any significant findings.
After the race, it was reported that FULL SAILING had bled from both nostrils.
A veterinary inspection of TRONIC MIGHTY immediately following the race did not show any significant findings.
A veterinary inspection of GARLIC HERO immediately following the race found that horse to have a small amount of blood in the mouth.
TAKINGUFURTHER and GOLDEN MISSION were sent for sampling."
